image_file_name,pmcid,rexinthewild_question,rexinthewild_gt_text,rexinthewild_choices,rexinthewild_answer,topic
JFDS-10-143-g002.jpg,PMC6528542,Which preparation enhances the visibility of lip prints here?,"Matte, dark-colored lipstick","[A] Fluoride varnish coating
[B] Matte, dark-colored lipstick
[C] Povidone–iodine solution applied to the lips
[D] Colorless petroleum jelly (lip balm)",B,Mouth & Jaws
CTO-06-03-g-014.jpg,PMC3199843,Which auricular substructures are most distorted or absent?,Antihelix and scaphoid fossa,"[A] Antihelix and scaphoid fossa
[B] Helix and helical crus
[C] Tragus and antitragus
[D] Cavum conchae and cymba conchae
[E] Lobule only",A,Head & Neck
CTO-06-03-g-014.jpg,PMC3199843,Which procedure most likely produced this auricular deformity?,Pinna setback for prominent ears (otoplasty/otopexia),"[A] External auditory canal canalplasty
[B] Partial auriculectomy of the conchal bowl
[C] Radical mastoidectomy with canal wall exteriorization (meatoplasty)
[D] Endaural tympanoplasty with tragal cartilage graft
[E] Pinna setback for prominent ears (otoplasty/otopexia)",E,Head & Neck
ijcpd-14-575-g003.jpg,PMC8585908,"In subfigure A, which landmarks are used to measure mouth opening?",Incisal edges of the maxillary and mandibular central incisors,"[A] Free gingival margins of the upper and lower central incisors
[B] Incisal edges of the maxillary and mandibular central incisors
[C] Occlusal surfaces of the opposing first molars
[D] Tips of the maxillary and mandibular canine cusps
[E] Upper and lower vermilion borders of the lips",B,Mouth & Jaws
ijcpd-14-575-g003.jpg,PMC8585908,Which method minimizes parallax error and improves reproducibility for interincisal distance?,Digital Vernier caliper with jaws contacting both upper and lower incisal edges (subfigure B),"[A] Metal ruler positioned anterior to the incisors without contact (subfigure A)
[B] Both techniques reduce parallax equally if the observer's gaze is perpendicular to the scale
[C] Metal ruler lightly touching only the lower incisal edge to stabilize the reading (subfigure A)
[D] Digital Vernier caliper with jaws contacting both upper and lower incisal edges (subfigure B)",D,Mouth & Jaws
ijspt_2023_18_6_89926_186324.jpg,PMC10693490,"In the right subfigure, which upper limb bears most body weight?",Right upper limb,"[A] Weight is evenly distributed between the arms
[B] Left upper limb
[C] Right upper limb
[D] Neither upper limb
[E] Most weight borne through the knees/legs",C,Trunk & Extremities
ijspt_2023_18_6_89926_186324.jpg,PMC10693490,What function is primarily assessed by this task?,Closed-chain upper-extremity stability and motor control,"[A] Visual–motor reaction time to light stimuli
[B] Scapulothoracic flexibility/mobility
[C] Closed-chain upper-extremity stability and motor control
[D] Open-chain shoulder endurance and coordination
[E] Trunk and lumbopelvic stability under load",C,Trunk & Extremities
10.1177_2325967118759953-fig2.jpg,PMC5865521,Which muscle group’s control is primarily being assessed by maintaining the weight-bearing knee in this position?,Knee extensors (quadriceps),"[A] Passive screw-home mechanism with no primary muscle control
[B] Hip abductors/external rotators (gluteus medius/minimus)
[C] Plantarflexors (soleus-dominant) providing an extension moment in stance
[D] Knee extensors (quadriceps)
[E] Knee flexors (hamstrings) with gastrocnemius co-contraction",D,Trunk & Extremities
10.1177_2325967118759953-fig2.jpg,PMC5865521,What knee position is emphasized in the weight-bearing limb during single-limb stance?,Terminal knee extension (full extension),"[A] Mid-range flexion (~20–30°) with valgus control
[B] Terminal knee extension (full extension)
[C] Slight flexion (about 5–10°) to avoid locking
[D] Mild hyperextension (genu recurvatum ~5° past neutral)",B,Trunk & Extremities
ijspt_2024_19_1_90707_188326.jpg,PMC10761629,Which description best matches the lifter’s spinal posture at the start position?,Globally neutral spine—flat back with natural lumbar lordosis maintained,"[A] Subtle axial rotation to one side—shoulders not square
[B] Thoracic rounding with otherwise neutral lumbar spine—upper back kyphosis
[C] Hyperextended lumbar spine with anterior pelvic tilt—excessive arch
[D] Mild lumbar flexion due to posterior pelvic tilt—lower back slightly rounded
[E] Globally neutral spine—flat back with natural lumbar lordosis maintained",E,Trunk & Extremities
ijspt_2024_19_1_90707_188326.jpg,PMC10761629,Which statement best describes the lower-extremity alignment shown?,Feet flat with knees tracking roughly over their respective toes,"[A] Feet flat with knees tracking roughly over their respective toes
[B] Mild valgus: knees drifting toward the midline despite feet neutral
[C] Left heel lifted with weight shifted onto the forefoot
[D] Feet excessively turned inward (pigeon-toed) relative to knee orientation
[E] Feet markedly turned out (>30°) with knees pointing straight ahead",A,Trunk & Extremities
IJO-60-119-g005.jpg,PMC3339071,Which ocular problem most commonly causes this compensatory head posture?,Bilateral upper eyelid ptosis,"[A] Infantile nystagmus with a superior‑gaze null point
[B] Brow ptosis causing upper visual field loss
[C] Bilateral upper eyelid ptosis
[D] Severe unilateral right upper eyelid ptosis
[E] Comitant esotropia requiring a left face turn",C,Eyes
IJO-60-119-g005.jpg,PMC3339071,What visual benefit does this posture provide?,Facilitates viewing above the lid margin by elevating the chin,"[A] Permits viewing above the occluding upper lid
[B] Facilitates viewing above the lid margin by elevating the chin
[C] Reduces accommodative demand for near work
[D] Minimizes glare from overhead lighting
[E] Improves peripheral awareness to the sides",B,Eyes
SNI-4-49-g011.jpg,PMC3640229,Which area appears injured in this image?,Left eye,"[A] Left hand
[B] Left eye
[C] Right skull
[D] Neck",B,Head & Neck
SNI-4-49-g011.jpg,PMC3640229,"Based on this image, what symptom is this patient most likely to have?",Poor depth perception,"[A] Agnosia
[B] Color vision deficiency
[C] No symptoms suggested by image
[D] Face blindness
[E] Poor depth perception",E,Head & Neck
IJPS-43-81-g001.jpg,PMC2938632,Which finding is visible at the most dependent part of the mass?,Ulceration/erosion,"[A] Thick eschar formation at the lowest margin
[B] Pedunculated cutaneous tag protruding inferiorly
[C] Ulceration/erosion
[D] Intact, hyperpigmented skin without break",C,Head & Neck
IJPS-43-81-g001.jpg,PMC2938632,Which description best characterizes the lesion’s morphology?,"Pendulous, lobulated soft-tissue mass with redundant skin and a dependent ulceration","[A] Diffuse hemifacial soft-tissue hypertrophy with ill-defined borders and no discrete mass
[B] Soft, compressible, bluish venous malformation that blanches on pressure
[C] Pendulous, lobulated soft-tissue mass with redundant skin and a dependent ulceration
[D] Broad-based sessile lobulated mass with taut skin and superficial crusts, no ulceration
[E] Pendulous, lobulated soft-tissue mass with redundant skin but intact overlying epidermis",C,Skin & Hair
JOCD-20-1591-g001.jpg,PMC9292157,Which nerve corresponds to the yellow structure anterior to the ear?,Facial nerve (main trunk),"[A] Facial nerve (main trunk)
[B] Temporal branch of the facial nerve
[C] Greater auricular nerve (C2–C3)
[D] Auriculotemporal nerve (V3)
[E] Auricular branch of the vagus (Arnold’s nerve)",A,Head & Neck
JOCD-20-1591-g001.jpg,PMC9292157,"If the highlighted nerve were injured, which deficit would most likely occur?",Inability to smile on the ipsilateral side,"[A] Weakness of jaw opening on the ipsilateral side
[B] Diminished hearing on the ipsilateral side
[C] Inability to smile on the ipsilateral side
[D] Decreased lacrimation from the ipsilateral eye
[E] Loss of taste from the anterior two-thirds of the tongue",C,Head & Neck
cmcul-3-181-g004.jpg,PMC9009854,Where is the tongue coating most concentrated?,Central dorsum,"[A] Mostly along the lateral borders
[B] Tip (anterior third) predominance
[C] Central dorsum
[D] Along the lateral borders only
[E] Posterior dorsum near the vallate papillae/base",C,Mouth & Jaws
cmcul-3-181-g004.jpg,PMC9009854,Which finding is present in the image?,Diffuse thick white coating on the dorsal tongue,"[A] Yellow-brown adherent plaque on the tongue surface
[B] Normal pink tongue without visible coating
[C] Diffuse thick white coating on the dorsal tongue
[D] Patchy erythematous denudation consistent with geographic tongue
[E] Thin whitish coating limited to the posterior third of the tongue",C,Mouth & Jaws
gox-11-e5027-g017.jpg,PMC10226617,Which outcome is evident from the auricular contour?,Elevated cartilage framework shaping the helix and upper pole,"[A] Postauricular scar contracture with loss of sulcus and diminished ear projection
[B] Persistent superior pole deficiency with a flattened helix and inadequate antihelical fold
[C] Elevated cartilage framework shaping the helix and upper pole
[D] Inferior lobule malposition with downward tilt despite adequate upper pole support
[E] Native-appearing auricle without contour change, consistent with no reconstruction",C,Head & Neck
gox-11-e5027-g017.jpg,PMC10226617,What is the likely reason for the ear findings?,Post-operative changes,"[A] Tumorous growth
[B] Acute blunt trauma
[C] Post-operative changes
[D] Swelling from infection
[E] Congenital malformation",C,Head & Neck
10.1177_20552076221104669-fig4.jpg,PMC9178979,Which immediate instruction would most improve visualization during this video visit?,Adjust your grip so the camera lens isn’t covered by your fingers,"[A] Switch to the rear-facing camera for higher resolution
[B] Adjust your grip so the camera lens isn’t covered by your fingers
[C] Sit closer to the wall behind to simplify the background
[D] Tilt the phone slightly downward to reduce ceiling glare
[E] Tap the screen to focus the image",B,Other
10.1177_20552076221104669-fig4.jpg,PMC9178979,Which adjustment would best enable proper observation of hand range of motion?,Place the device on a stable surface to free both hands,"[A] Use digital zoom so the hand fills most of the frame
[B] Place the device on a stable surface to free both hands
[C] Increase room lighting to improve visibility
[D] Hold the phone with the non-examined hand while moving the other
[E] Switch to landscape orientation to widen the view",B,Trunk & Extremities
gr9.jpg,PMC5851923,Which gait phase is depicted in the image?,Double-limb support with the leading foot slightly ahead,"[A] Standing quietly with no specific gait phase
[B] Midstance on the trailing limb with the forward foot in swing
[C] Initial contact (heel strike) of the front foot while the rear foot remains flat
[D] Double-limb support with the leading foot slightly ahead
[E] Pre‑swing/toe‑off of the trailing limb with the heel lifted",D,Trunk & Extremities
gr9.jpg,PMC5851923,What best describes the weight-bearing status shown?,Full weight-bearing through both lower limbs,"[A] Full weight-bearing through both lower limbs
[B] Heel-touch weight bearing on the forward foot without forefoot loading
[C] Non–weight-bearing on the forward foot (placed for balance only)
[D] Toe-touch weight bearing on the trailing foot only
[E] Partial weight-bearing (about 50%) on the forward foot with unloading of the opposite limb",A,Trunk & Extremities
CTO-06-03-g-002.jpg,PMC3199843,Which description best matches the tissue character seen in the auricle?,Indurated and fibrotic,"[A] Keloid-like hypertrophic scar limited to the lobule
[B] Indurated and fibrotic
[C] Soft, compressible pseudocyst with clear serous fluid
[D] Rock-hard, calcified chondral ossification (petrified ear)
[E] Fluctuant and boggy, tender hematoma",B,Head & Neck
CTO-06-03-g-002.jpg,PMC3199843,Which patient history is most consistent with this ear finding?,"Repeated shearing blunt trauma to the auricle during contact sports (wrestling/boxing), with prior undrained auricular hematomas","[A] Frostbite of the helix after brief cold exposure last week
[B] Single recent blow to the ear with new tender, fluctuant swelling
[C] Repeated shearing blunt trauma to the auricle during contact sports (wrestling/boxing), with prior undrained auricular hematomas
[D] Recent insect bite to the pinna with transient pruritus and swelling
[E] Allergic contact dermatitis from nickel earrings confined to the earlobe",C,Head & Neck
SNI-11-98-g008.jpg,PMC7265414,Which eye shows abnormal lateral deviation on downward gaze?,Patient's left eye (viewer’s right),"[A] No abnormal deviation is present
[B] Patient's right eye (viewer’s left)
[C] Both eyes show symmetric physiologic abduction on down gaze
[D] Patient's left eye (viewer’s right)",D,Eyes
SNI-11-98-g008.jpg,PMC7265414,Which extraocular muscle weakness most directly causes the left eye’s lateral deviation shown?,Left medial rectus,"[A] Left superior oblique
[B] Left lateral rectus
[C] Left inferior oblique
[D] Left medial rectus",D,Eyes
10.1177_2050313X211031332-fig8.jpg,PMC8267038,Which bedside maneuver is shown by the examiner’s hand as the patient attempts to close the eyes?,Assessment of eyelid closure strength against resistance,"[A] Assessment of eyelid closure strength against resistance
[B] Corneal blink reflex testing
[C] Bell’s phenomenon evaluation during forced lid closure
[D] Frontalis muscle strength testing during attempted eye closure
[E] Levator palpebrae superioris function testing (eyelid opening)",A,Eyes
10.1177_2050313X211031332-fig8.jpg,PMC8267038,"With the forehead stabilized, what finding indicates a normal result?",Complete eyelid closure with no visible gap on either side and resistance to gentle manual opening,"[A] Complete eyelid closure with no visible gap on either side and resistance to gentle manual opening
[B] Intact corneal blink reflex bilaterally with the forehead held to prevent brow recruitment
[C] Upward globe deviation (Bell’s phenomenon) on forced closure while the forehead is stabilized
[D] Symmetric brow elevation with a small (≤1–2 mm) residual palpebral fissure during closure",A,Eyes
CTO-13-01-g-011.jpg,PMC4273162,Which finding suggests a congenital rather than traumatic origin?,"Bilateral, mirror-image helical rim notches with smooth skin and no tearing or scarring","[A] Well-healed linear scar along the superior helix with mild keloid thickening
[B] Right-sided V-shaped helical rim defect with exposed cartilage and perichondrial hemorrhage
[C] Bilateral, mirror-image helical rim notches with smooth skin and no tearing or scarring
[D] Fluctuant anterior pinna swelling consistent with acute auricular hematoma",C,Head & Neck
CTO-13-01-g-011.jpg,PMC4273162,Which auricular structure shows the defect in this image?,Helical rim,"[A] Antihelical fold
[B] Lobule
[C] Scapha (scaphoid fossa)
[D] Helical rim
[E] Tragus",D,Head & Neck
ORR-13-247-g0007.jpg,PMC8648273,This device is most commonly used to maintain correction after treatment of which condition?,Clubfoot (talipes equinovarus),"[A] Congenital vertical talus (rocker-bottom foot)
[B] Calcaneovalgus foot
[C] Metatarsus adductus
[D] Developmental dysplasia of the hip
[E] Clubfoot (talipes equinovarus)",E,Trunk & Extremities
ORR-13-247-g0007.jpg,PMC8648273,What orthotic device shown in the image?,Foot abduction brace (Denis Browne/Ponseti bar),"[A] Pavlik harness
[B] Foot abduction brace (Denis Browne/Ponseti bar)
[C] Wheaton dynamic AFO (clubfoot brace)
[D] Bilateral ankle–foot orthoses joined by a rigid crossbar",B,Trunk & Extremities
CCR3-9-e04581-g003.jpg,PMC8357077,What abnormality is most apparent in the mandibular anterior teeth?,Severe caries with extensive crown destruction,"[A] Generalized attrition with shortened incisal edges and no cavitated lesions
[B] Mottled enamel from fluorosis/hypoplasia without obvious decay
[C] Multiple tooth-colored (composite) restorations on the labial surfaces
[D] Severe caries with extensive crown destruction
[E] No significant abnormality in the maxillary anterior teeth",D,Mouth & Jaws
CCR3-9-e04581-g003.jpg,PMC8357077,Which statement best describes the lower anterior teeth?,Multiple mandibular incisors missing with retained root stumps,"[A] Severe attrition of the lower incisors without tooth loss
[B] Three mandibular incisors present with one edentulous space and no root fragments
[C] Multiple mandibular incisors missing with retained root stumps
[D] All four mandibular incisors intact and aligned
[E] Fixed bridge replacing the lower incisors from canine to canine",C,Mouth & Jaws
ihad005fig12.jpg,PMC10037267,Which observable sign in the image most suggests fatigue or emotional distress?,Head propped by the right hand with a slouched seated posture,"[A] Both hands placed on the head
[B] Head propped by the left hand with a slouched seated posture
[C] Right hand raised to the brow while sitting upright
[D] Head propped by the right hand with a slouched seated posture",D,Other
ihad005fig12.jpg,PMC10037267,Which posture is being demonstrated?,"Seated on a chair, leaning right with the right hand supporting the head","[A] Seated on a chair, leaning right with the right hand supporting the head
[B] Seated, slumped forward with both elbows on the knees
[C] Sitting upright on a chair with both hands resting on the lap
[D] Seated on a plastic chair, leaning left with the left hand supporting the forehead",A,Trunk & Extremities
gox-9-e3378-g005.jpg,PMC7862073,Which scalp region does the scar primarily traverse?,Left temporoparietal scalp just superior to the auricle,"[A] Postauricular/mastoid region along the superior nuchal line
[B] Midline vertex incision from frontal hairline to occiput
[C] Preauricular cheek and temple skin crease anterior to the tragus
[D] Right parieto‑occipital scalp near the lambdoid suture
[E] Left temporoparietal scalp just superior to the auricle",E,Head & Neck
gox-9-e3378-g005.jpg,PMC7862073,Which surgical approach is suggested by the incision configuration?,Left question mark incision for temporoparietal flap,"[A] Right postauricular lazy-S incision for cochlear implantation/mastoidectomy
[B] Left question mark incision for temporoparietal flap
[C] Right question-mark frontotemporoparietal flap for hemicraniectomy/cranioplasty
[D] Right retromastoid C-shaped suboccipital approach to the posterior fossa
[E] Left pterional/frontotemporal curvilinear incision for aneurysm surgery",B,Surgical & Procedural
CTO-08-03-g-007.jpg,PMC3199820,Which best describes the appearance of the ear region in subfigure a?,"Flat, surgically altered area without helical rim","[A] Nodular hypertrophic scar/keloid replacing the auricle
[B] Normal auricular contours with helical rim intact
[C] Flat ear region with partially preserved helix and lobule
[D] Flat, surgically altered area without helical rim
[E] Ear folded posteriorly, helix obscured by hair but otherwise intact",D,Head & Neck
CTO-08-03-g-007.jpg,PMC3199820,Which subfigure shows an auricular prosthesis?,Right-hand panel (b),"[A] Right-hand panel (b)
[B] Both panels
[C] Neither panel
[D] Left-hand panel (a)",A,Head & Neck
10-1055-s-0039-1695804_19318_26.jpg,PMC6785327,Which finding in subfigure (a) is shown?,Symmetric nostril shapes with a centered columellar axis,"[A] Persistent alar base asymmetry with slight right alar rim retraction
[B] Symmetric nostril shapes with a centered columellar axis
[C] Mild leftward caudal septal angulation despite near-equal nostril contour
[D] Increased columellar show with subtle cephalic tip rotation",B,Head & Neck
10-1055-s-0039-1695804_19318_26.jpg,PMC6785327,"In subfigure a, which nasal view is shown?",Basal view of the nasal base,"[A] Cephalic (dorsal/bird’s-eye) view
[B] Frontal (anterior) view
[C] Right lateral profile view
[D] Alar base oblique view
[E] Basal view of the nasal base",E,Head & Neck
ijcpd-16-101-g010.jpg,PMC10474390,Which statement best describes the vertex orientation in the left and right subfigures?,The vertex points proximally toward the wrist in both subfigures,"[A] Left subfigure: vertex points proximally, right subfigure: vertex points distally
[B] Left subfigure: vertex points distally, right subfigure: vertex points proximally
[C] The vertex points proximally toward the wrist in both subfigures
[D] The vertex points distally toward the fingertips in both subfigures
[E] In both subfigures, the vertex is directed toward the ulnar border rather than the wrist",C,Trunk & Extremities
ijcpd-16-101-g010.jpg,PMC10474390,"In the right subfigure, the angle at the vertex is formed by lines from which two points?",t to a and t to d,"[A] t to a and t to d
[B] a to t and a to d
[C] d to t and a to d
[D] t to a and a to d",A,Trunk & Extremities
ijspt_2021_16_3_22085_59524.jpg,PMC8169007,"In subfigure (a), what is the primary purpose of elevating one foot during the exercise?",Reduce load on the elevated side,"[A] Reduce load on the elevated side
[B] Reduce load on the opposite (stance) side
[C] Encourage hip external rotation on the stance leg
[D] Increase ankle dorsiflexion demand on the stance leg",A,Trunk & Extremities
ijspt_2021_16_3_22085_59524.jpg,PMC8169007,"In subfigure (b), which limb primarily bears weight?",Left limb planted within the taped square bears the majority of weight,"[A] Minimal lower-limb loading, with suspension straps bearing most of the weight
[B] Right limb positioned behind with toes down bears the majority of weight
[C] Left limb planted within the taped square bears the majority of weight
[D] Both limbs share weight equally due to strap assistance",C,Trunk & Extremities
JOCR-10-37-g007.jpg,PMC7933643,Which clinical provocative test for wrist/hand symptoms is being performed?,Wrist extension range of motion assessment,"[A] Durkan's carpal compression test
[B] Phalen's test for carpal tunnel syndrome
[C] Finkelstein's test
[D] Wrist extension range of motion assessment
[E] Tinel's sign at the carpal tunnel",D,Trunk & Extremities
JOCR-10-37-g007.jpg,PMC7933643,"If this position provokes paresthesias, which finger is most likely spared?",Fifth digit (little finger),"[A] Second digit (index finger)
[B] First digit (thumb)
[C] Third digit (middle/long finger)
[D] Fifth digit (little finger)
[E] Fourth digit (ring finger)",D,Trunk & Extremities
10.1177_1179544119835222-fig5.jpg,PMC6402071,Which assistive device is shown?,Single-point cane,"[A] Narrow-base quad cane
[B] Tripod cane
[C] Single-point cane
[D] Hemi-walker",C,Trunk & Extremities
10.1177_1179544119835222-fig5.jpg,PMC6402071,What is the level of human assistance during ambulation?,Independent ambulation with a cane and no human assistance,"[A] Stand-by assistance during ambulation with a cane (therapist present, no physical contact)
[B] Independent ambulation with a cane and no human assistance
[C] Contact guard assistance from one clinician using a gait belt
[D] Supervision only with intermittent verbal cueing during gait with a cane
[E] Minimal assistance (hand-held assist on the right) while ambulating with a cane",B,Trunk & Extremities
ms9-86-1101-g004.jpg,PMC10849436,Which description best fits the lesions seen?,Multiple erythematous discoid patches with central ulceration,"[A] Single linear laceration of the left soft palate consistent with trauma
[B] Normal palatal rugae with no focal lesions
[C] Multiple erythematous discoid patches with central ulceration
[D] Multiple erythematous discoid patches without ulceration
[E] Diffuse white plaques that can be scraped off",C,Mouth & Jaws
ms9-86-1101-g004.jpg,PMC10849436,Where are the ulcerative lesions located in this image?,Midline hard palate immediately anterior to the soft palate,"[A] Anterior hard palate behind the incisive papilla
[B] Midline hard palate immediately anterior to the soft palate
[C] Midline soft palate just posterior to the hard palate
[D] Posterolateral hard palate near the upper molars",B,Mouth & Jaws
gr7.jpg,PMC11408788,Which head-mounted device indicates brain activity monitoring?,EEG cap with electrode leads,"[A] Virtual-reality head-mounted display
[B] Over-ear noise-cancelling headset
[C] EEG cap with electrode leads
[D] ECG cap with electrode leads",C,Head & Neck
gr7.jpg,PMC11408788,Where do the headgear leads run?,Down the back toward equipment behind the seat,"[A] Down the back toward equipment behind the seat
[B] Along the right forearm to wrist-mounted sensors
[C] Over the left shoulder toward the dashboard tablet
[D] Forward under the seat into the steering column housing",A,Head & Neck
JPBS-7-282-g004.jpg,PMC4439693,How many maxillary anterior teeth are missing?,Four,"[A] Three
[B] Two
[C] Five
[D] Four",D,Mouth & Jaws
CCID-13-127-g0005.jpg,PMC7008639,What does the green horizontal line represent relative to total forehead height?,An intermediate reference line positioned at 60% of the total forehead height,"[A] The midline marking 50% of the total height
[B] An intermediate reference line positioned at 60% of the total forehead height
[C] An upper‑third marker at roughly two‑thirds (≈66%) of the total height
[D] The trichion/hairline at the superior forehead margin
[E] A suprabrow marker at approximately 40% of the total height",B,Head & Neck
CCID-13-127-g0005.jpg,PMC7008639,Which anatomical landmarks are spanned by the red arrow in this image?,Intermediate (60%) line to eyebrow level,"[A] Pupil center to anterior hairline
[B] Anterior hairline (trichion) to eyebrow level
[C] Glabella to nasal tip
[D] Intermediate (60%) line to eyebrow level
[E] Anterior hairline (trichion) to the intermediate (60%) line",D,Head & Neck
KITP-13-28425-g003.jpg,PMC5071603,"For the individual with a white shirt, what is the most likely right-upper-limb amputation level?","Transhumeral (above elbow, distal humerus)","[A] Wrist disarticulation (through radiocarpal joint)
[B] Elbow disarticulation
[C] Transhumeral (above elbow, distal humerus)
[D] Transradial (below elbow, mid-forearm)",C,Trunk & Extremities
KITP-13-28425-g003.jpg,PMC5071603,"For the individual with a striped shirt, what is the most likely right-upper-limb amputation level?","Transradial (below elbow, mid-forearm)","[A] Transradial (below elbow, mid-forearm)
[B] Shoulder disarticulation
[C] Transhumeral (above elbow, distal humerus)
[D] Elbow disarticulation",A,Trunk & Extremities
ijspt_2021_16_6_29923_75626.jpg,PMC8637265,Which shoulder movement is the top arm performing?,External rotation,"[A] Abduction (scaption)
[B] External rotation
[C] Internal rotation
[D] Horizontal abduction
[E] Extension",B,Trunk & Extremities
ijspt_2021_16_6_29923_75626.jpg,PMC8637265,Where is the resistance band anchored?,Held by the lower hand,"[A] Held by the lower hand
[B] Secured under the upper forearm against the torso
[C] Looped around the ankles near the foot of the table
[D] Clipped to the near table edge at waist level",A,Trunk & Extremities
sccaa-10-001Fig5.jpg,PMC5506773,"In the left panel, the hair-loss pattern is most consistent with which diagnosis?",Androgenetic (male-pattern) alopecia with bilateral frontotemporal recession,"[A] Normal hairline, apparent recession due to hair styling/lighting artifact
[B] Frontal fibrosing alopecia causing scarring recession of the anterior hairline
[C] Androgenetic (male-pattern) alopecia with bilateral frontotemporal recession
[D] Traction alopecia from chronic headband use with marginal frontal thinning",C,Skin & Hair
sccaa-10-001Fig5.jpg,PMC5506773,"In the mid-frontal scalp, what change is seen at 24 weeks (right) compared with baseline (left)?",Increased density with thicker hair shafts,"[A] Increased density with thicker hair shafts
[B] Increased density comprised mainly of fine, miniaturized hairs
[C] Inferior advancement of the frontal hairline without change in shaft caliber
[D] No appreciable change in the mid-frontal scalp
[E] Decreased density with wider spacing between hairs",A,Skin & Hair
JIPS-19-266-g004.jpg,PMC6685333,What finding is present in the right eye?,Wax prosthetic,"[A] Glass prosthetic
[B] Gel contact lens
[C] Conjunctivitis
[D] Wax prosthetic
[E] Subconjunctival hemorrhage",D,Eyes
266_2010_9650_Fig1_HTML.jpg,PMC3146709,Which feature is indicated by label 2?,Malar mounds (malar edema),"[A] Lower eyelid festoons
[B] Tear trough deformity
[C] Malar mounds (malar edema)
[D] Palpebral bags (preseptal fat prolapse)",C,Head & Neck
266_2010_9650_Fig1_HTML.jpg,PMC3146709,Which numbered area is closest to the lower eyelid margin?,3,"[A] All are approximately the same distance from the lower eyelid margin
[B] 3
[C] 1
[D] 2",B,Eyes
